RSI_PERIOD,BUY_THRESHOLD,SELL_THRESHOLD,FINAL_VALUE,CAGR
7,20,60,1100047.16,0.96
7,20,65,1115688.99,1.1
7,20,70,1106235.86,1.02
7,20,75,1117517.03,1.12
7,20,80,1143167.47,1.35
7,25,60,1104446.64,1.0
7,25,65,1096080.24,0.92
7,25,70,1101258.85,0.97
7,25,75,1134957.52,1.27
7,25,80,1155359.0,1.46
7,30,60,1067957.06,0.66
7,30,65,1043099.35,0.42
7,30,70,1071829.51,0.7
7,30,75,1097107.13,0.93
7,30,80,1120229.18,1.14
7,35,60,1113704.54,1.08
7,35,65,1095628.71,0.92
7,35,70,1133567.42,1.26
7,35,75,1141306.93,1.33
7,35,80,1159089.64,1.49
7,40,60,1071523.99,0.69
7,40,65,1115622.78,1.1
7,40,70,1178089.48,1.65
7,40,75,1199623.88,1.84
7,40,80,1205065.97,1.88
9,20,60,1025257.72,0.25
9,20,65,1023315.24,0.23
9,20,70,1049234.48,0.48
9,20,75,1072205.33,0.7
9,20,80,1139577.55,1.32
9,25,60,1089996.55,0.87
9,25,65,1083309.1,0.8
9,25,70,1114959.19,1.09
9,25,75,1127896.28,1.21
9,25,80,1174961.46,1.63
9,30,60,1068131.31,0.66
9,30,65,1076436.85,0.74
9,30,70,1127581.25,1.21
9,30,75,1135348.14,1.28
9,30,80,1188473.91,1.74
9,35,60,1045946.96,0.45
9,35,65,1076672.1,0.74
9,35,70,1116791.5,1.11
9,35,75,1156403.8,1.46
9,35,80,1260667.73,2.34
9,40,60,1114081.47,1.09
9,40,65,1127420.72,1.21
9,40,70,1152226.94,1.43
9,40,75,1181258.34,1.68
9,40,80,1251649.28,2.27
11,20,60,996833.21,-0.03
11,20,65,1008920.83,0.09
11,20,70,1023750.99,0.24
11,20,75,1051969.76,0.51
11,20,80,1104659.81,1.0
11,25,60,1026622.73,0.26
11,25,65,1018920.98,0.19
11,25,70,1037829.37,0.37
11,25,75,1095736.89,0.92
11,25,80,1150991.05,1.42
11,30,60,1083236.69,0.8
11,30,65,1103273.78,0.99
11,30,70,1109222.03,1.04
11,30,75,1138203.07,1.3
11,30,80,1193205.29,1.78
11,35,60,1082947.91,0.8
11,35,65,1127875.24,1.21
11,35,70,1145936.3,1.37
11,35,75,1198756.53,1.83
11,35,80,1285789.0,2.55
11,40,60,1095605.76,0.92
11,40,65,1142321.28,1.34
11,40,70,1169233.75,1.58
11,40,75,1200078.55,1.84
11,40,80,1314487.65,2.77
13,20,60,987577.45,-0.12
13,20,65,990080.64,-0.1
13,20,70,994036.0,-0.06
13,20,75,1045772.64,0.45
13,20,80,1067856.25,0.66
13,25,60,1008691.91,0.09
13,25,65,1010297.35,0.1
13,25,70,1039988.19,0.39
13,25,75,1078824.53,0.76
13,25,80,1151060.36,1.42
13,30,60,1104949.58,1.0
13,30,65,1123077.86,1.17
13,30,70,1117555.89,1.12
13,30,75,1125431.97,1.19
13,30,80,1235091.9,2.13
13,35,60,1073100.94,0.71
13,35,65,1106756.58,1.02
13,35,70,1099194.48,0.95
13,35,75,1137804.07,1.3
13,35,80,1209213.57,1.92
13,40,60,1105384.34,1.01
13,40,65,1170199.77,1.58
13,40,70,1172523.39,1.6
13,40,75,1254397.14,2.29
13,40,80,1321891.16,2.83
15,20,60,986868.7,-0.13
15,20,65,991812.09,-0.08
15,20,70,1006556.2,0.07
15,20,75,1048251.7,0.47
15,20,80,1069074.25,0.67
15,25,60,1008920.83,0.09
15,25,65,1024837.74,0.25
15,25,70,1051213.76,0.5
15,25,75,1089394.92,0.86
15,25,80,1138155.85,1.3
15,30,60,1020041.34,0.2
15,30,65,1038317.62,0.38
15,30,70,1088880.41,0.86
15,30,75,1144523.07,1.36
15,30,80,1204265.97,1.88
15,35,60,1101506.67,0.97
15,35,65,1138943.3,1.31
15,35,70,1148777.66,1.4
15,35,75,1189734.0,1.75
15,35,80,1212682.81,1.95
15,40,60,1110247.91,1.05
15,40,65,1162815.07,1.52
15,40,70,1218961.73,2.0
15,40,75,1271711.7,2.43
15,40,80,1316248.45,2.79
17,20,60,1008167.93,0.08
17,20,65,1018497.84,0.18
17,20,70,1033014.09,0.33
17,20,75,1068965.05,0.67
17,20,80,1158383.03,1.48
17,25,60,1005746.64,0.06
17,25,65,1021090.3,0.21
17,25,70,1036457.05,0.36
17,25,75,1076412.7,0.74
17,25,80,1143130.73,1.35
17,30,60,1045698.08,0.45
17,30,65,1053954.23,0.53
17,30,70,1073893.75,0.72
17,30,75,1123820.22,1.17
17,30,80,1239476.62,2.17
17,35,60,1083626.19,0.81
17,35,65,1129644.53,1.23
17,35,70,1119190.79,1.13
17,35,75,1160591.27,1.5
17,35,80,1255471.28,2.3
17,40,60,1063978.55,0.62
17,40,65,1104206.14,1.0
17,40,70,1130533.89,1.23
17,40,75,1167425.68,1.56
17,40,80,1241161.87,2.18
19,20,60,1008167.93,0.08
19,20,65,1024643.5,0.24
19,20,70,1063859.93,0.62
19,20,75,1082717.93,0.8
19,20,80,1166515.28,1.55
19,25,60,990080.64,-0.1
19,25,65,1006556.2,0.07
19,25,70,1045772.64,0.45
19,25,75,1064630.64,0.63
19,25,80,1148427.98,1.39
19,30,60,1010854.9,0.11
19,30,65,1048337.8,0.47
19,30,70,1100116.42,0.96
19,30,75,1136234.34,1.29
19,30,80,1203919.43,1.87
19,35,60,1088982.25,0.86
19,35,65,1096189.44,0.92
19,35,70,1195489.02,1.8
19,35,75,1244541.88,2.21
19,35,80,1293545.34,2.61
19,40,60,1096488.66,0.93
19,40,65,1133684.9,1.26
19,40,70,1197116.52,1.82
19,40,75,1215488.4,1.97
19,40,80,1268384.22,2.41
21,20,60,1011592.0,0.12
21,20,65,1024643.5,0.24
21,20,70,1063859.93,0.62
21,20,75,1085943.55,0.83
21,20,80,1168826.34,1.57
21,25,60,993504.7,-0.07
21,25,65,1006556.2,0.07
21,25,70,1045772.64,0.45
21,25,75,1067856.25,0.66
21,25,80,1150739.05,1.41
21,30,60,1021124.96,0.21
21,30,65,1049728.01,0.49
21,30,70,1082153.06,0.79
21,30,75,1136937.85,1.29
21,30,80,1203708.4,1.87
21,35,60,1096055.03,0.92
21,35,65,1097446.3,0.93
21,35,70,1149179.8,1.4
21,35,75,1220979.84,2.02
21,35,80,1369645.16,3.2
21,40,60,1121885.05,1.16
21,40,65,1102375.04,0.98
21,40,70,1155613.2,1.46
21,40,75,1234349.54,2.13
21,40,80,1334019.72,2.93
